MAZ,TAZ,COUNTY,county_name
10697,471,1,San Francisco
10698,471,1,San Francisco
10699,461,1,San Francisco
10700,439,1,San Francisco
10701,439,1,San Francisco
10702,81,1,San Francisco
10703,38,1,San Francisco
10704,81,1,San Francisco
10705,254,1,San Francisco
10706,223,1,San Francisco
10707,316,1,San Francisco
10708,316,1,San Francisco
10711,193,1,San Francisco
10713,194,1,San Francisco
10714,235,1,San Francisco
10716,193,1,San Francisco
10717,196,1,San Francisco
10718,315,1,San Francisco
10720,315,1,San Francisco
10721,233,1,San Francisco
10722,234,1,San Francisco
10724,387,1,San Francisco
10725,455,1,San Francisco
10726,154,1,San Francisco
10727,191,1,San Francisco
10728,191,1,San Francisco
10731,648,1,San Francisco
10734,573,1,San Francisco
10735,605,1,San Francisco
10736,167,1,San Francisco
10743,157,1,San Francisco
10744,158,1,San Francisco
10745,129,1,San Francisco
10750,109,1,San Francisco
10751,459,1,San Francisco
10753,105,1,San Francisco
10754,459,1,San Francisco
10756,230,1,San Francisco
10760,71,1,San Francisco
10761,254,1,San Francisco
10762,217,1,San Francisco
10763,216,1,San Francisco
10764,249,1,San Francisco
10765,481,1,San Francisco
10766,248,1,San Francisco
10767,250,1,San Francisco
10768,250,1,San Francisco
10769,649,1,San Francisco
10770,277,1,San Francisco
10771,277,1,San Francisco
10772,331,1,San Francisco
10773,331,1,San Francisco
10774,277,1,San Francisco
10775,243,1,San Francisco
10776,107,1,San Francisco
10780,102,1,San Francisco
10782,102,1,San Francisco
10783,102,1,San Francisco
10786,303,1,San Francisco
10787,603,1,San Francisco
10790,443,1,San Francisco
10791,442,1,San Francisco
10793,519,1,San Francisco
10795,184,1,San Francisco
10798,150,1,San Francisco
10801,155,1,San Francisco
10803,154,1,San Francisco
10805,109,1,San Francisco
10806,109,1,San Francisco
10809,239,1,San Francisco
10810,237,1,San Francisco
10811,319,1,San Francisco
10812,319,1,San Francisco
10813,71,1,San Francisco
10814,42,1,San Francisco
10817,71,1,San Francisco
10818,451,1,San Francisco
10819,42,1,San Francisco
10822,610,1,San Francisco
10823,88,1,San Francisco
10834,508,1,San Francisco
10835,482,1,San Francisco
10837,252,1,San Francisco
10838,252,1,San Francisco
10839,377,1,San Francisco
10840,479,1,San Francisco
10843,558,1,San Francisco
10847,558,1,San Francisco
10848,557,1,San Francisco
10849,7,1,San Francisco
10850,8,1,San Francisco
10851,14,1,San Francisco
10852,14,1,San Francisco
10853,512,1,San Francisco
10854,515,1,San Francisco
10856,381,1,San Francisco
10857,381,1,San Francisco
10858,146,1,San Francisco
10859,146,1,San Francisco
10860,189,1,San Francisco
10861,192,1,San Francisco
10863,625,1,San Francisco
10864,625,1,San Francisco
10865,120,1,San Francisco
10866,121,1,San Francisco
10867,121,1,San Francisco
10868,121,1,San Francisco
10871,101,1,San Francisco
10873,284,1,San Francisco
10874,332,1,San Francisco
10876,478,1,San Francisco
10877,3,1,San Francisco
10878,128,1,San Francisco
10879,106,1,San Francisco
10881,210,1,San Francisco
10882,207,1,San Francisco
10883,210,1,San Francisco
10884,75,1,San Francisco
10885,244,1,San Francisco
10886,543,1,San Francisco
10887,244,1,San Francisco
10889,140,1,San Francisco
10890,143,1,San Francisco
10891,144,1,San Francisco
10892,238,1,San Francisco
10893,275,1,San Francisco
10894,273,1,San Francisco
10895,238,1,San Francisco
10896,273,1,San Francisco
10897,506,1,San Francisco
10898,505,1,San Francisco
10899,484,1,San Francisco
10900,523,1,San Francisco
10901,523,1,San Francisco
10902,510,1,San Francisco
10904,270,1,San Francisco
10906,529,1,San Francisco
10907,414,1,San Francisco
10908,412,1,San Francisco
10909,411,1,San Francisco
10910,529,1,San Francisco
10911,528,1,San Francisco
10912,409,1,San Francisco
10913,413,1,San Francisco
10914,412,1,San Francisco
10915,413,1,San Francisco
10916,291,1,San Francisco
10917,291,1,San Francisco
10920,565,1,San Francisco
10922,564,1,San Francisco
10924,46,1,San Francisco
10925,24,1,San Francisco
10927,22,1,San Francisco
10929,61,1,San Francisco
10930,64,1,San Francisco
10933,187,1,San Francisco
10934,450,1,San Francisco
10936,579,1,San Francisco
10937,579,1,San Francisco
10938,71,1,San Francisco
10939,452,1,San Francisco
10940,189,1,San Francisco
10941,240,1,San Francisco
10944,123,1,San Francisco
10947,622,1,San Francisco
10948,623,1,San Francisco
10950,393,1,San Francisco
10951,466,1,San Francisco
10955,145,1,San Francisco
10956,145,1,San Francisco
10957,484,1,San Francisco
10958,523,1,San Francisco
10959,650,1,San Francisco
10961,509,1,San Francisco
10962,525,1,San Francisco
10964,530,1,San Francisco
10965,529,1,San Francisco
10966,647,1,San Francisco
10967,412,1,San Francisco
10970,291,1,San Francisco
10972,583,1,San Francisco
10975,553,1,San Francisco
10976,553,1,San Francisco
10977,43,1,San Francisco
10978,126,1,San Francisco
10982,429,1,San Francisco
10983,438,1,San Francisco
10984,438,1,San Francisco
10985,435,1,San Francisco
10986,345,1,San Francisco
10989,342,1,San Francisco
10990,342,1,San Francisco
10991,440,1,San Francisco
10992,464,1,San Francisco
10993,464,1,San Francisco
10994,469,1,San Francisco
10995,469,1,San Francisco
10996,374,1,San Francisco
10997,63,1,San Francisco
10999,58,1,San Francisco
11001,47,1,San Francisco
11002,545,1,San Francisco
11004,547,1,San Francisco
11005,256,1,San Francisco
11006,262,1,San Francisco
11008,251,1,San Francisco
11011,377,1,San Francisco
11013,476,1,San Francisco
11014,510,1,San Francisco
11015,472,1,San Francisco
11018,71,1,San Francisco
11021,304,1,San Francisco
11026,271,1,San Francisco
11027,12,1,San Francisco
11028,85,1,San Francisco
11031,85,1,San Francisco
11033,583,1,San Francisco
11038,621,1,San Francisco
11039,553,1,San Francisco
11041,43,1,San Francisco
11042,43,1,San Francisco
11044,43,1,San Francisco
11046,152,1,San Francisco
11051,126,1,San Francisco
11055,94,1,San Francisco
11056,308,1,San Francisco
11059,85,1,San Francisco
11060,269,1,San Francisco
11062,256,1,San Francisco
11063,251,1,San Francisco
11064,482,1,San Francisco
11065,249,1,San Francisco
11067,377,1,San Francisco
11068,480,1,San Francisco
11071,35,1,San Francisco
11073,330,1,San Francisco
11074,607,1,San Francisco
11075,607,1,San Francisco
11079,461,1,San Francisco
11080,474,1,San Francisco
11081,473,1,San Francisco
11082,462,1,San Francisco
11083,573,1,San Francisco
11085,433,1,San Francisco
11086,479,1,San Francisco
11087,465,1,San Francisco
11090,479,1,San Francisco
11092,368,1,San Francisco
11093,370,1,San Francisco
11094,434,1,San Francisco
11095,435,1,San Francisco
11096,56,1,San Francisco
11097,53,1,San Francisco
11098,11,1,San Francisco
11099,54,1,San Francisco
11100,49,1,San Francisco
11101,48,1,San Francisco
11102,56,1,San Francisco
11103,55,1,San Francisco
11104,55,1,San Francisco
11106,68,1,San Francisco
11107,645,1,San Francisco
11108,65,1,San Francisco
11109,65,1,San Francisco
11118,366,1,San Francisco
11120,428,1,San Francisco
11121,358,1,San Francisco
11122,385,1,San Francisco
11125,390,1,San Francisco
11127,349,1,San Francisco
11128,597,1,San Francisco
11129,597,1,San Francisco
11130,353,1,San Francisco
11132,326,1,San Francisco
11133,326,1,San Francisco
11134,67,1,San Francisco
11135,646,1,San Francisco
11136,67,1,San Francisco
11138,39,1,San Francisco
11139,606,1,San Francisco
11145,605,1,San Francisco
11146,94,1,San Francisco
11147,448,1,San Francisco
11148,448,1,San Francisco
11149,289,1,San Francisco
11150,448,1,San Francisco
11151,440,1,San Francisco
11152,440,1,San Francisco
11153,463,1,San Francisco
11154,463,1,San Francisco
11155,465,1,San Francisco
11156,465,1,San Francisco
11157,468,1,San Francisco
11159,435,1,San Francisco
11160,367,1,San Francisco
11162,53,1,San Francisco
11163,53,1,San Francisco
11164,48,1,San Francisco
11165,48,1,San Francisco
11166,54,1,San Francisco
11167,56,1,San Francisco
11168,54,1,San Francisco
11169,58,1,San Francisco
11171,68,1,San Francisco
11172,29,1,San Francisco
11173,31,1,San Francisco
11174,175,1,San Francisco
11175,176,1,San Francisco
11176,203,1,San Francisco
11177,213,1,San Francisco
11178,214,1,San Francisco
11179,213,1,San Francisco
11180,179,1,San Francisco
11181,178,1,San Francisco
11182,206,1,San Francisco
11183,206,1,San Francisco
11184,207,1,San Francisco
11186,537,1,San Francisco
11190,255,1,San Francisco
11191,249,1,San Francisco
11192,216,1,San Francisco
11195,277,1,San Francisco
11196,274,1,San Francisco
11198,144,1,San Francisco
11199,493,1,San Francisco
11200,538,1,San Francisco
11201,506,1,San Francisco
11203,502,1,San Francisco
11204,501,1,San Francisco
11205,503,1,San Francisco
11206,145,1,San Francisco
11207,492,1,San Francisco
11208,503,1,San Francisco
11210,208,1,San Francisco
11211,209,1,San Francisco
11213,646,1,San Francisco
11216,437,1,San Francisco
11221,451,1,San Francisco
11222,189,1,San Francisco
11223,311,1,San Francisco
11224,311,1,San Francisco
11225,311,1,San Francisco
11226,311,1,San Francisco
11228,121,1,San Francisco
11229,171,1,San Francisco
11230,171,1,San Francisco
11231,109,1,San Francisco
11232,108,1,San Francisco
11234,641,1,San Francisco
11236,644,1,San Francisco
11237,242,1,San Francisco
11238,242,1,San Francisco
11239,195,1,San Francisco
11240,314,1,San Francisco
11241,314,1,San Francisco
11242,156,1,San Francisco
11243,314,1,San Francisco
11245,184,1,San Francisco
11250,86,1,San Francisco
11251,608,1,San Francisco
11257,573,1,San Francisco
11259,418,1,San Francisco
11260,382,1,San Francisco
11261,383,1,San Francisco
11263,7,1,San Francisco
11264,115,1,San Francisco
11267,151,1,San Francisco
11268,99,1,San Francisco
11269,188,1,San Francisco
11270,188,1,San Francisco
11274,120,1,San Francisco
11280,220,1,San Francisco
11283,3,1,San Francisco
11284,93,1,San Francisco
11287,235,1,San Francisco
11293,118,1,San Francisco
11294,114,1,San Francisco
11297,449,1,San Francisco
11298,114,1,San Francisco
11299,115,1,San Francisco
11300,114,1,San Francisco
11301,114,1,San Francisco
11302,115,1,San Francisco
11303,115,1,San Francisco
11304,115,1,San Francisco
11306,151,1,San Francisco
11307,125,1,San Francisco
11309,125,1,San Francisco
11312,129,1,San Francisco
11315,107,1,San Francisco
11316,104,1,San Francisco
11319,305,1,San Francisco
11323,357,1,San Francisco
11324,357,1,San Francisco
11326,394,1,San Francisco
11328,317,1,San Francisco
11329,334,1,San Francisco
11330,338,1,San Francisco
11332,360,1,San Francisco
11333,360,1,San Francisco
11335,338,1,San Francisco
11337,562,1,San Francisco
11339,37,1,San Francisco
11341,590,1,San Francisco
11342,590,1,San Francisco
11343,606,1,San Francisco
11344,418,1,San Francisco
11345,418,1,San Francisco
11347,572,1,San Francisco
11349,598,1,San Francisco
11350,86,1,San Francisco
11351,19,1,San Francisco
11352,572,1,San Francisco
11353,295,1,San Francisco
11355,623,1,San Francisco
11358,105,1,San Francisco
11359,185,1,San Francisco
11360,104,1,San Francisco
11361,534,1,San Francisco
11367,345,1,San Francisco
11368,325,1,San Francisco
11369,325,1,San Francisco
11371,349,1,San Francisco
11374,324,1,San Francisco
11375,157,1,San Francisco
11376,157,1,San Francisco
11377,61,1,San Francisco
11378,147,1,San Francisco
11381,155,1,San Francisco
11382,155,1,San Francisco
11384,154,1,San Francisco
11385,313,1,San Francisco
11386,109,1,San Francisco
11388,108,1,San Francisco
11389,109,1,San Francisco
11390,112,1,San Francisco
11391,240,1,San Francisco
11392,319,1,San Francisco
11393,319,1,San Francisco
11394,280,1,San Francisco
11396,561,1,San Francisco
11397,561,1,San Francisco
11398,418,1,San Francisco
11399,98,1,San Francisco
11401,599,1,San Francisco
11402,569,1,San Francisco
11403,561,1,San Francisco
11405,21,1,San Francisco
11409,236,1,San Francisco
11411,573,1,San Francisco
11418,418,1,San Francisco
11419,286,1,San Francisco
11422,26,1,San Francisco
11423,147,1,San Francisco
11424,22,1,San Francisco
11425,64,1,San Francisco
11426,82,1,San Francisco
11427,83,1,San Francisco
11429,70,1,San Francisco
11431,190,1,San Francisco
11432,579,1,San Francisco
11433,452,1,San Francisco
11434,579,1,San Francisco
11435,450,1,San Francisco
11436,452,1,San Francisco
11437,320,1,San Francisco
11438,320,1,San Francisco
11439,240,1,San Francisco
11440,239,1,San Francisco
11441,239,1,San Francisco
11442,239,1,San Francisco
11444,158,1,San Francisco
11449,151,1,San Francisco
11453,79,1,San Francisco
11454,228,1,San Francisco
11457,200,1,San Francisco
11459,235,1,San Francisco
11461,339,1,San Francisco
11462,561,1,San Francisco
11463,418,1,San Francisco
11464,561,1,San Francisco
11466,119,1,San Francisco
11467,154,1,San Francisco
11468,146,1,San Francisco
11469,123,1,San Francisco
11471,574,1,San Francisco
11473,310,1,San Francisco
11474,39,1,San Francisco
11475,288,1,San Francisco
11476,593,1,San Francisco
11485,429,1,San Francisco
11486,429,1,San Francisco
11487,438,1,San Francisco
11489,369,1,San Francisco
11490,436,1,San Francisco
11491,342,1,San Francisco
11492,389,1,San Francisco
11495,464,1,San Francisco
11496,465,1,San Francisco
11497,372,1,San Francisco
11498,374,1,San Francisco
11499,469,1,San Francisco
11500,480,1,San Francisco
11501,470,1,San Francisco
11502,49,1,San Francisco
11504,59,1,San Francisco
11505,59,1,San Francisco
11506,59,1,San Francisco
11508,58,1,San Francisco
11509,202,1,San Francisco
11512,488,1,San Francisco
11513,225,1,San Francisco
11514,418,1,San Francisco
11515,403,1,San Francisco
11517,27,1,San Francisco
11522,262,1,San Francisco
11523,264,1,San Francisco
11524,260,1,San Francisco
11525,257,1,San Francisco
11527,259,1,San Francisco
11529,489,1,San Francisco
11530,238,1,San Francisco
11531,238,1,San Francisco
11533,273,1,San Francisco
11541,84,1,San Francisco
11544,614,1,San Francisco
11547,613,1,San Francisco
11548,582,1,San Francisco
11549,582,1,San Francisco
11550,583,1,San Francisco
11557,152,1,San Francisco
11558,152,1,San Francisco
11560,153,1,San Francisco
11569,286,1,San Francisco
11574,330,1,San Francisco
11578,278,1,San Francisco
11579,283,1,San Francisco
11582,282,1,San Francisco
11585,289,1,San Francisco
11586,448,1,San Francisco
11587,289,1,San Francisco
11588,289,1,San Francisco
11589,289,1,San Francisco
11590,321,1,San Francisco
11591,198,1,San Francisco
11594,198,1,San Francisco
11597,161,1,San Francisco
11598,184,1,San Francisco
11599,636,1,San Francisco
11600,157,1,San Francisco
11601,317,1,San Francisco
11602,284,1,San Francisco
11603,101,1,San Francisco
11604,101,1,San Francisco
11605,101,1,San Francisco
11606,110,1,San Francisco
11610,237,1,San Francisco
11611,68,1,San Francisco
11612,65,1,San Francisco
11613,40,1,San Francisco
11614,12,1,San Francisco
11615,574,1,San Francisco
11616,84,1,San Francisco
11617,85,1,San Francisco
11618,612,1,San Francisco
11620,612,1,San Francisco
11622,583,1,San Francisco
11623,583,1,San Francisco
11625,274,1,San Francisco
11626,241,1,San Francisco
11627,242,1,San Francisco
11628,482,1,San Francisco
11629,481,1,San Francisco
11630,482,1,San Francisco
11631,195,1,San Francisco
11632,195,1,San Francisco
11633,314,1,San Francisco
11634,156,1,San Francisco
11635,185,1,San Francisco
11638,314,1,San Francisco
11640,314,1,San Francisco
11641,314,1,San Francisco
11642,162,1,San Francisco
11643,162,1,San Francisco
11646,167,1,San Francisco
11647,280,1,San Francisco
11648,280,1,San Francisco
11649,280,1,San Francisco
11653,297,1,San Francisco
11656,104,1,San Francisco
11658,107,1,San Francisco
11661,426,1,San Francisco
11664,431,1,San Francisco
11666,477,1,San Francisco
11667,305,1,San Francisco
11669,156,1,San Francisco
11670,315,1,San Francisco
11673,323,1,San Francisco
11674,340,1,San Francisco
11676,340,1,San Francisco
11677,302,1,San Francisco
11678,473,1,San Francisco
11679,17,1,San Francisco
11680,106,1,San Francisco
11681,210,1,San Francisco
11682,212,1,San Francisco
11683,210,1,San Francisco
11684,211,1,San Francisco
11685,209,1,San Francisco
11686,545,1,San Francisco
11687,75,1,San Francisco
11692,98,1,San Francisco
11693,619,1,San Francisco
11694,419,1,San Francisco
11697,343,1,San Francisco
11698,615,1,San Francisco
11699,573,1,San Francisco
11701,615,1,San Francisco
11703,121,1,San Francisco
11708,160,1,San Francisco
11715,106,1,San Francisco
11716,329,1,San Francisco
11717,296,1,San Francisco
11719,108,1,San Francisco
11726,318,1,San Francisco
11727,198,1,San Francisco
11728,200,1,San Francisco
11730,341,1,San Francisco
11731,562,1,San Francisco
11735,601,1,San Francisco
11736,597,1,San Francisco
11737,126,1,San Francisco
11741,158,1,San Francisco
11744,129,1,San Francisco
11746,218,1,San Francisco
11747,437,1,San Francisco
11752,428,1,San Francisco
11754,431,1,San Francisco
11756,337,1,San Francisco
11757,334,1,San Francisco
11759,128,1,San Francisco
11762,455,1,San Francisco
11764,485,1,San Francisco
11767,456,1,San Francisco
11768,456,1,San Francisco
11769,460,1,San Francisco
11770,460,1,San Francisco
11771,601,1,San Francisco
11773,380,1,San Francisco
11774,597,1,San Francisco
11785,324,1,San Francisco
11786,306,1,San Francisco
11790,586,1,San Francisco
11792,167,1,San Francisco
11794,491,1,San Francisco
11795,490,1,San Francisco
