"id","purpose","freq_dep","freq_arr","freq_dur"
10,"atwork",7255,3234,2348
10,"esc",6709,16463,2500
10,"idisc",45280,16835,33600
10,"imain",59433,22180,22509
10,"jdisc",2758,1496,3139
10,"jmain",6595,2973,1998
10,"sch",19705,1008,22865
10,"Total",280297,73120,174530
10,"univ",16355,1945,18524
10,"work",116207,6986,67047
11,"atwork",9181,4630,1502
11,"esc",7292,9333,1876
11,"idisc",46337,19793,24589
11,"imain",73614,30833,16505
11,"jdisc",2870,1576,2011
11,"jmain",8798,3689,1318
11,"sch",10261,1022,28866
11,"Total",242715,82116,158583
11,"univ",13878,2437,14956
11,"work",70484,8803,66960
12,"atwork",11090,6144,999
12,"esc",7530,7873,1707
12,"idisc",33667,21425,18649
12,"imain",82552,41670,11918
12,"jdisc",2249,1603,1409
12,"jmain",10635,5015,971
12,"sch",6744,2595,39701
12,"Total",212564,100805,154537
12,"univ",11988,3444,12304
12,"work",46109,11036,66879
13,"atwork",14793,8558,695
13,"esc",8053,7853,1611
13,"idisc",33736,23681,13912
13,"imain",83691,48768,8923
13,"jdisc",2283,1662,949
13,"jmain",11007,6094,626
13,"sch",5080,5334,64036
13,"Total",211430,120615,166052
13,"univ",10472,4747,11290
13,"work",42315,13918,64010
14,"atwork",19137,11742,473
14,"esc",8806,8293,1565
14,"idisc",38997,29466,11197
14,"imain",69122,58994,6691
14,"jdisc",3594,1885,754
14,"jmain",8630,7520,447
14,"sch",4259,9538,112099
14,"Total",201541,151572,204677
14,"univ",8843,6594,9528
14,"work",40153,17540,61923
15,"atwork",70182,19825,295
15,"esc",9409,8880,1176
15,"idisc",39510,28288,9280
15,"imain",48757,65918,7596
15,"jdisc",3552,1829,611
15,"jmain",5781,8629,481
15,"sch",3737,14870,250853
15,"Total",226760,177994,338235
15,"univ",7924,7656,8109
15,"work",37908,22099,59834
16,"atwork",86900,41314,158
16,"esc",10062,9563,755
16,"idisc",34734,31017,8720
16,"imain",46919,65026,8533
16,"jdisc",2497,2326,480
16,"jmain",5465,8217,541
16,"sch",2979,21194,218075
16,"Total",233868,221280,305653
16,"univ",7170,16272,6938
16,"work",37142,26351,61453
17,"atwork",53330,94979,127
17,"esc",11076,10182,422
17,"idisc",24231,32234,9085
17,"imain",46395,55812,9969
17,"jdisc",1488,2869,525
17,"jmain",5359,6893,516
17,"sch",2322,28509,174111
17,"Total",187343,273518,292783
17,"univ",6634,10395,5826
17,"work",36508,31645,92202
18,"atwork",26627,63502,72
18,"esc",11962,11366,191
18,"idisc",24444,31813,7025
18,"imain",46529,52605,7736
18,"jdisc",1420,2800,322
18,"jmain",5342,6224,448
18,"sch",2726,35621,85367
18,"Total",160467,250387,261897
18,"univ",5722,8434,4900
18,"work",35695,38022,155836
19,"atwork",13756,33345,44
19,"esc",42694,11200,127
19,"idisc",24004,32557,6362
19,"imain",44783,59733,6075
19,"jdisc",1358,2817,317
19,"jmain",5262,7207,303
19,"sch",3101,43281,62693
19,"Total",174758,245724,339005
19,"univ",5125,8845,4162
19,"work",34675,46739,258922
20,"atwork",10815,21723,22
20,"esc",67341,43956,83
20,"idisc",24004,30008,5849
20,"imain",43219,55638,4764
20,"jdisc",1464,2251,272
20,"jmain",5116,6338,276
20,"sch",3539,114099,61639
20,"Total",192977,341150,381266
20,"univ",4489,9262,3492
20,"work",32990,57875,304869
21,"atwork",8540,14684,16
21,"esc",59223,71969,50
21,"idisc",24224,27986,5296
21,"imain",41881,55175,3623
21,"jdisc",1885,2053,238
21,"jmain",5346,6097,199
21,"sch",3869,280959,50460
21,"Total",179670,536206,316602
21,"univ",3645,9598,2749
21,"work",31057,67685,253971
22,"atwork",6734,10999,9
22,"esc",51643,76754,38
22,"idisc",24751,27150,4836
22,"imain",38934,55776,3173
22,"jdisc",2351,1953,225
22,"jmain",6387,6412,167
22,"sch",4111,258165,28218
22,"Total",165899,550009,230512
22,"univ",3009,9839,2211
22,"work",27979,102961,191635
23,"atwork",5497,8739,2
23,"esc",27950,36857,30
23,"idisc",36749,26259,4531
23,"imain",36134,57952,2543
23,"jdisc",5074,1782,198
23,"jmain",7380,6867,129
23,"sch",4163,158487,10817
23,"Total",151512,432862,153472
23,"univ",2523,9952,1771
23,"work",26042,125967,133451
24,"atwork",4729,6993,3
24,"esc",21388,31590,22
24,"idisc",39315,26530,4244
24,"imain",31853,60552,2221
24,"jdisc",7029,2193,213
24,"jmain",7412,7958,124
24,"sch",3947,88616,7403
24,"Total",142333,403139,100381
24,"univ",1940,9885,1590
24,"work",24720,168822,84561
25,"atwork",4507,5868,1
25,"esc",11179,17562,17
25,"idisc",42291,35739,3769
25,"imain",28461,49063,1821
25,"jdisc",8501,3449,194
25,"jmain",7582,8200,98
25,"sch",3593,73049,4860
25,"Total",142752,446527,79251
25,"univ",13541,10074,1402
25,"work",23097,243523,67089
26,"atwork",3715,4679,0
26,"esc",10442,12819,7
26,"idisc",46867,38244,3291
26,"imain",26463,43742,1462
26,"jdisc",14471,4776,142
26,"jmain",8496,7665,78
26,"sch",3091,68945,2942
26,"Total",147831,492452,61164
26,"univ",10342,9902,1198
26,"work",23944,301680,52044
27,"atwork",3462,3368,1
27,"esc",9879,11351,2
27,"idisc",57393,41233,2809
27,"imain",25287,33950,1277
27,"jdisc",18645,6886,137
27,"jmain",9942,7590,70
27,"sch",2558,54846,1730
27,"Total",160235,439906,44849
27,"univ",8108,9240,993
27,"work",24961,271442,37830
28,"atwork",3314,3292,1
28,"esc",9050,10218,2
28,"idisc",69450,44252,2350
28,"imain",25107,34221,941
28,"jdisc",25121,8730,110
28,"jmain",11389,9293,61
28,"sch",1865,27400,1024
28,"Total",176333,345056,31975
28,"univ",6528,9496,864
28,"work",24509,198154,26622
29,"atwork",3403,3298,0
29,"esc",8276,9474,5
29,"idisc",72819,48920,1733
29,"imain",25972,28608,772
29,"jdisc",30799,12076,78
29,"jmain",12758,8512,43
29,"sch",1246,13905,644
29,"Total",183885,263859,22185
29,"univ",6016,9333,682
29,"work",22596,129733,18228
30,"atwork",3269,3239,0
30,"esc",7063,8605,2
30,"idisc",34995,52225,1216
30,"imain",17280,27852,648
30,"jdisc",13993,15044,58
30,"jmain",10458,9953,45
30,"sch",870,8010,541
30,"Total",108413,253527,15423
30,"univ",1277,8845,547
30,"work",19208,119754,12366
31,"atwork",3265,3155,0
31,"esc",6075,7381,0
31,"idisc",12428,54822,853
31,"imain",12719,27099,460
31,"jdisc",5037,18107,34
31,"jmain",7859,11506,27
31,"sch",550,4400,481
31,"Total",65668,216613,10268
31,"univ",1561,9328,384
31,"work",16174,80815,8029
32,"atwork",2941,3269,0
32,"esc",5067,6352,1
32,"idisc",9441,60094,614
32,"imain",8379,26420,390
32,"jdisc",4331,18855,26
32,"jmain",5730,12909,18
32,"sch",379,2359,476
32,"Total",50894,204456,6558
32,"univ",1747,9513,286
32,"work",12879,64685,4747
33,"atwork",2821,3194,0
33,"esc",4374,5298,1
33,"idisc",7036,59494,376
33,"imain",5696,18990,269
33,"jdisc",3324,18647,19
33,"jmain",3773,9266,13
33,"sch",263,1268,388
33,"Total",39322,179388,3849
33,"univ",1794,9033,195
33,"work",10241,54198,2588
34,"atwork",2695,3162,0
34,"esc",3718,4603,0
34,"idisc",5007,64352,254
34,"imain",3793,14004,143
34,"jdisc",2521,19507,15
34,"jmain",2527,6868,5
34,"sch",226,721,354
34,"Total",30177,168671,2173
34,"univ",1603,7913,130
34,"work",8087,47541,1272
35,"atwork",2469,3234,0
35,"esc",3152,3961,0
35,"idisc",3888,27415,139
35,"imain",2515,10393,70
35,"jdisc",1889,9063,6
35,"jmain",1820,4751,5
35,"sch",191,736,178
35,"Total",23158,110115,827
35,"univ",1090,7153,51
35,"work",6144,43409,378
36,"atwork",2127,3060,0
36,"esc",2812,3346,0
36,"idisc",3008,24750,67
36,"imain",1751,7746,32
36,"jdisc",1360,5790,2
36,"jmain",1273,3487,4
36,"sch",150,729,61
36,"Total",18052,96179,268
36,"univ",832,5970,21
36,"work",4739,41301,81
37,"atwork",1723,2917,0
37,"esc",2339,2986,0
37,"idisc",2204,15625,41
37,"imain",1173,5832,17
37,"jdisc",1143,3890,5
37,"jmain",837,2497,0
37,"sch",123,751,19
37,"Total",13832,80091,115
37,"univ",452,5200,10
37,"work",3838,40393,23
38,"atwork",1382,2779,0
38,"esc",1997,2571,0
38,"idisc",1382,13865,12
38,"imain",757,4582,4
38,"jdisc",774,3302,1
38,"jmain",528,1747,0
38,"sch",103,811,10
38,"Total",10232,75844,35
38,"univ",204,4325,1
38,"work",3105,41862,7
39,"atwork",939,2421,0
39,"esc",1931,2193,0
39,"idisc",980,6819,7
39,"imain",448,3922,4
39,"jdisc",330,2053,0
39,"jmain",164,1347,0
39,"sch",83,779,10
39,"Total",7639,74435,24
39,"univ",119,3940,2
39,"work",2645,50961,1
40,"atwork",1946,3402,0
40,"esc",1180,3286,0
40,"idisc",564,7535,1
40,"imain",407,3631,0
40,"jdisc",88,2351,0
40,"jmain",79,995,0
40,"sch",66,825,2
40,"Total",8201,99368,5
40,"univ",69,3566,0
40,"work",3802,73777,2
